Marker,Expected_Heterozygosity
SE33,0.945727604796
Penta E,0.907488
D1S1656,0.903202046748
D12S391,0.889943942166
D7S3048,0.877625757738
D18S51,0.87367152995
D21S2055,0.873441393262
D7S1517,0.870335693004
D2S1338,0.869847407184
D10S2325,0.865397835302
D8S1132,0.861594211478
FGA,0.855532677984
D22GATA198B05,0.848549952648
D2S1360,0.847178
D21S11,0.83938866215
D15S659,0.838933183044
Penta D,0.833442
D13S325,0.820418206554
D3S1744,0.819460827944
D8S1179,0.813663044124
vWA,0.812859577916
D5S2500,0.812716
D7S820,0.809443836204
D11S2368,0.808324
D3S1358,0.794096080526
D4S2366,0.79039
D6S474,0.790172
D18S1364,0.790092
TH01,0.782948714452
D13S317,0.782183748016
D19S433,0.776216445948
D19S253,0.771333667104
D10S1248,0.768979600704
D16S539,0.767436853376
D10S1435,0.748189387946
D2S441,0.7479734070599999
D5S2800,0.728139405994
CSF1PO,0.7255891373579999
D5S818,0.7219103452940001
D20S482,0.71342415171
D22S1045,0.704197817944
D14S1434,0.694630552814
D9S1122,0.693497054354
D17S1301,0.671669811846
TPOX,0.637159189602
