Marker,Number_of_Alleles,Max_Frequency,Min_Frequency,Mean_Frequency
SE33,35,0.09328,0.003009,0.02857142857142857
D21S2055,22,0.258225,0.001994,0.045454545454545456
D21S11,18,0.261785,0.001003,0.05555555555555555
FGA,18,0.19422,0.001,0.05555555555555556
D1S1656,17,0.140437,0.001,0.058823529411764705
Penta E,16,0.154,0.01,0.0625
D12S391,15,0.183267,0.002988,0.06666666666666667
D18S51,15,0.17793,0.001,0.06666666666666667
D19S433,15,0.352879,0.001,0.06666666666666667
D2S1338,15,0.240552,0.001,0.06666666666666667
D10S1435,13,0.373374,0.003003,0.07692307692307693
D7S1517,13,0.210421,0.006012,0.07692307692307693
D7S3048,13,0.178822,0.001998,0.07692307692307693
D8S1132,13,0.196197,0.002002,0.07692307692307693
D10S2325,12,0.182183,0.003003,0.08333333333333333
D13S325,12,0.247753,0.001998,0.08333333333333334
D2S1360,12,0.293,0.006,0.08333333333333333
Penta D,12,0.208,0.003,0.08333333333333333
D11S2368,11,0.245,0.002,0.09090909090909091
D15S659,11,0.216784,0.001998,0.09090909090909091
D18S1364,11,0.301,0.002,0.09090909090909091
D8S1179,11,0.320079,0.002982,0.09090909090909091
CSF1PO,10,0.332004,0.001,0.1
D22GATA198B05,10,0.2008,0.001998,0.1
D22S1045,10,0.375743,0.001,0.1
D2S441,10,0.32604,0.001,0.1
D7S820,10,0.268388,0.001,0.1
D19S253,9,0.343344,0.012012,0.1111111111111111
D3S1744,9,0.295409,0.001996,0.1111111111111111
D5S818,9,0.355863,0.001,0.1111111111111111
vWA,9,0.265935,0.001,0.1111111111111111
D10S1248,8,0.292829,0.003984,0.125
D13S317,8,0.326692,0.001,0.125
D16S539,8,0.299205,0.001988,0.125
D17S1301,8,0.416584,0.001998,0.125
D20S482,8,0.429571,0.001998,0.125
D3S1358,8,0.267396,0.001988,0.125
D5S2500,8,0.271,0.025,0.125
D5S2800,8,0.344345,0.003003,0.125
D6S474,8,0.282,0.002,0.125
D9S1122,8,0.398204,0.001996,0.125
D4S2366,7,0.347,0.008,0.14285714285714285
TH01,7,0.313121,0.002982,0.14285714285714285
D14S1434,6,0.373254,0.018962,0.16666666666666666
TPOX,6,0.515902,0.001,0.16666666666666666
